n_train,p,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,1e-05,0,3.90708822011948,3.91687250137329,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,1e-05,0,3.86699927598238,4.07537084817886,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,5e-05,0,3.9203724488616,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,5e-05,0,3.90759443491697,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,5e-05,0,3.9060595035553,3.93705922365189,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,5e-05,0,3.91298375278711,3.9289802312851,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,5e-05,0,3.90231063216925,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,5e-05,0,3.8813850581646,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,5e-05,0,3.89202351868153,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,5e-05,0,3.92893466353416,3.91336053609848,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,5e-05,0,3.91253768652678,3.9031046628952,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,5e-05,0,3.92619352042675,3.91142392158508,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,5e-05,0,3.91633281856775,3.9043647646904,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,5e-05,0,3.91767386347055,3.91226714849472,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,5e-05,0,3.90414866060019,3.95240533351898,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,5e-05,0,3.86656749248505,NaN,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,5e-05,0,3.90310963243246,3.96445959806442,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,5e-05,0,3.94422578066587,3.92793351411819,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,1e-04,0,3.91505533456802,3.91550666093826,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,1e-04,0,3.90715523809195,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,1e-04,0,3.91892485320568,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,1e-04,0,3.90646016597748,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,1e-04,0,3.90228178352118,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,1e-04,0,3.88989164680243,4.09710973501205,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,1e-04,0,3.89132882654667,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,1e-04,0,3.93310867249966,3.91938090324402,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,1e-04,0,3.91322913020849,3.9027715921402,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,1e-04,0,3.91986726969481,3.90395826101303,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,1e-04,0,3.91666055470705,3.90326952934265,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,1e-04,0,3.92119351774454,3.90815711021423,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,1e-04,0,3.92005487531424,3.96532452106476,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,1e-04,0,3.91802947968245,4.12572973966599,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,1e-04,0,3.92235347628593,3.94416838884354,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,1e-04,0,3.97231962531805,4.06319296360016,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,5e-04,0,3.9210516884923,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,5e-04,0,3.90512307733297,3.95020240545273,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,5e-04,0,3.91406437754631,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,5e-04,0,3.90985406190157,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,5e-04,0,3.89866626262665,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,5e-04,0,3.96671088784933,4.01701587438583,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,5e-04,0,3.96607815474272,3.93560516834259,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,5e-04,0,3.93205158412457,3.9498462677002,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,5e-04,0,3.98226130753756,3.96647065877914,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,5e-04,0,3.92753130942583,3.91079378128052,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,5e-04,0,3.9115853458643,3.90353441238403,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,5e-04,0,3.92154880613089,3.90586197376251,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,5e-04,0,3.91388195753098,3.91582578420639,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,5e-04,0,3.92208291590214,3.92539668083191,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,5e-04,0,3.95242118090391,3.94265639781952,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,5e-04,0,3.97233383357525,3.97789883613586,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,5e-04,0,3.9316515699029,3.91824042797089,1e-04,1000,0.4,5,1e-05,20,TRUE
